full_name,eccentricity,semi-major axis (au),inclination (deg),TP (TDB),sigma_e,sigma_a,sigma_i,sigma_TP,P_category
273P/Pons-Gambart,0.975096,32.54239,136.399,2456281,2.87E-06,0.003884,1.91E-05,9.13E-05,short
C/1984 U2 (Shoemaker),0.970905,41.74291,13.8812,2446069,,,,,short
C/2003 H2 (LINEAR),0.942909,38.15862,74.21751,2452777,7.51E-05,0.050644,0.001058,0.002861,short
C/2003 K1 (Spacewatch),0.950491,42.16067,129.8349,2452630,0.00508,4.3785,0.044784,0.44859,short
C/2003 S4-A (LINEAR),0.895098,36.92954,40.70817,2453156,0.002511,0.841,0.06681,1.6417,short
C/2003 S4-B (LINEAR),0.90408,40.00968,40.39988,2453149,0.002552,1.0151,0.063801,1.467,short
C/2005 P3 (SWAN),0.987713,42.79125,89.70752,2453592,5.63E-05,0.19714,0.001571,0.0002,short
C/2008 X3 (LINEAR),0.956542,43.76884,66.47507,2454750,3.43E-05,0.035068,0.000565,0.002176,short
C/2009 B2 (LINEAR),0.944304,41.79126,156.873,2454898,0.000148,0.11153,0.000332,0.00289,short
C/2009 E1 (Itagaki),0.985073,40.17715,127.4534,2454929,1.11E-06,0.003006,7.26E-05,1.76E-05,short
C/2009 K4 (Gibbs),0.962755,41.58722,34.82478,2455002,0.000688,0.77279,0.000444,0.004104,short
C/2010 J1 (Boattini),0.953825,36.72256,134.3849,2455232,0.000114,0.091518,0.000683,0.00688,short
C/2011 KP36 (Spacewatch),0.872844,38.40381,18.98677,2457535,1.14E-06,0.000348,7.43E-06,0.000218,short
C/2011 Q4 (SWAN),0.974157,43.03857,147.8431,2455826,5.45E-06,0.009249,4.30E-05,0.000181,short
C/2012 Y1 (LINEAR),0.946867,37.946,20.95944,2456311,6.07E-05,0.044003,0.000285,0.006567,short
C/2015 F2 (Polonia),0.968442,38.35916,28.69374,2457141,3.89E-05,0.047525,0.000335,0.000269,short
C/2015 H1 (Bressi),0.940783,32.53034,140.6556,2457110,8.69E-05,0.048262,8.42E-05,0.005759,short
C/2016 A8 (LINEAR),0.946348,35.06143,148.2118,2457631,1.62E-05,0.010642,1.39E-05,0.000135,short
C/2017 A3 (Elenin),0.911088,43.35239,98.50847,2457784,3.55E-05,0.017442,8.43E-05,0.003531,short
C/2017 X1 (PANSTARRS),0.851089,31.31186,31.31097,2458284,4.06E-05,0.008365,6.02E-05,0.071685,short
C/2019 A9 (PANSTARRS),0.96335,38.91958,84.3411,2458691,0.000149,0.16278,0.004164,0.009819,short
